gen,sid,seed,split,stepping_speed,body_speed_shortfall,foot_sliding,ground_contact_ratio,contact_streak,path_straightness,duration_sec,wants_to_travel,wants_to_stay,intent_unclear,is_mdm,is_motiongpt,is_momask,mm_u000,mm_u025,mm_u050,mm_u075,mm_u100,mm_u125,mm_u150,mm_u200
mdm,000759,20277608,calib,0.002788,-0.005626,0.004029389245189261,0.8466,0.56443,0.9999,4.4,0,0,1,1,0,0,8.2984,8.7061,9.1637,9.5897,9.9149,10.1305,10.3226,10.6061
mdm,000759,20277609,calib,0.003599,-0.004713,0.004692169669340087,0.8239,0.5492,0.9999,4.4,0,0,1,1,0,0,7.6435,8.5897,9.4607,10.0431,10.3839,10.5565,10.7225,11.0013
mdm,000759,20277610,calib,0.001366,-0.0069,0.004051016208096857,0.6989,0.46591,1.0,4.4,0,0,1,1,0,0,8.2449,8.9478,9.6261,10.1083,10.2951,10.3457,10.3888,10.4693
mdm,000792,20278608,calib,0.001024,-0.007312,0.008115093331010775,1.0,1.0,1.0,9.8,0,0,1,1,0,0,3.1494,3.038,2.9785,2.9208,2.8848,2.819,2.7274,2.4619
mdm,000792,20278609,calib,0.002234,-0.006097,0.008184033732344281,1.0,1.0,1.0,9.8,0,0,1,1,0,0,1.909,1.9377,1.9818,2.0706,2.1902,2.325,2.4895,2.9516
mdm,000792,20278610,calib,0.000883,-0.007445,0.008022319736350675,1.0,1.0,1.0,9.8,0,0,1,1,0,0,3.506,3.4265,3.365,3.2895,3.2072,3.1364,3.0313,2.6895
mdm,000872,20279608,calib,0.010751,0.002388,0.012818888246441488,1.0,1.0,0.9975,3.2,0,0,1,1,0,0,6.4129,6.3124,6.2219,5.981,5.454,4.9195,4.4142,3.5441
mdm,000872,20279609,calib,0.0225,0.014284,0.016179843460677627,0.9609,0.48047,0.997,3.2,0,0,1,1,0,0,4.6497,3.8259,3.1063,2.6629,2.3911,2.2459,2.2115,2.3439
mdm,000872,20279610,calib,0.023427,0.015009,0.018009741271431776,0.9609,0.64062,0.9957,3.2,0,0,1,1,0,0,4.3317,3.5445,3.1679,2.9318,2.8051,2.7684,2.7578,2.6012
mdm,000904,20280608,holdout,0.077379,0.066102,0.027949180306789077,0.5893,0.02949,0.9956,9.8,1,0,0,1,0,0,4.9869,4.6919,4.331,3.9146,3.5923,3.4466,3.4025,3.4746
mdm,000904,20280609,holdout,0.080706,0.069592,0.027528519569336694,0.6301,0.03148,0.9941,9.8,1,0,0,1,0,0,4.9979,4.8579,4.5077,4.0548,3.544,3.0483,2.7816,2.5596
mdm,000904,20280610,holdout,0.069888,0.058903,0.025783360546324456,0.6786,0.0424,0.9924,9.8,1,0,0,1,0,0,4.5116,4.2172,3.9273,3.5931,3.3057,3.082,2.8734,2.6026
mdm,001152,20281608,holdout,0.01984,0.010668,0.012368594826118025,0.7011,0.17522,0.9999,4.6,0,0,1,1,0,0,7.8036,7.9819,8.0974,8.1958,8.2828,8.3551,8.4271,8.5427
mdm,001152,20281609,holdout,0.018684,0.010489,0.008004729673370986,0.5924,0.07402,0.9994,4.6,0,0,1,1,0,0,7.3524,7.349,7.2981,7.1698,6.9524,6.6943,6.414,5.9353
mdm,001152,20281610,holdout,0.011963,0.003584,0.010466982585967793,0.7609,0.25359,0.9998,4.6,0,0,1,1,0,0,6.7247,6.8689,7.0674,7.2936,7.4691,7.5728,7.6494,7.7766
mdm,001215,20282608,calib,0.002568,-0.005794,0.005806016411467699,1.0,1.0,1.0,3.6,0,0,1,1,0,0,6.5686,6.5206,6.4595,6.3954,6.3524,6.3198,6.2765,6.1523
mdm,001215,20282609,calib,0.001964,-0.006338,0.004346438618513621,0.8194,0.40972,1.0,3.6,0,0,1,1,0,0,4.7498,4.7031,4.6397,4.549,4.4961,4.4457,4.3683,4.1461
mdm,001215,20282610,calib,0.00971,0.001339,0.009894763637209505,1.0,1.0,0.9986,3.6,0,0,1,1,0,0,5.4464,5.3269,5.1781,5.0369,4.9874,5.0283,5.1535,5.4635
mdm,001225,20283608,calib,0.031782,0.02249,0.013143157281954873,0.8158,0.20395,0.9995,3.8,1,0,0,1,0,0,3.4797,3.6054,3.6168,3.5186,3.4897,3.805,4.2988,5.3189
mdm,001225,20283609,calib,0.044614,0.035035,0.022267749045131163,0.8421,0.21053,0.9996,3.8,1,0,0,1,0,0,2.8352,2.8033,2.7208,2.5932,2.9004,3.6673,4.4896,5.8383
mdm,001225,20283610,calib,0.036604,0.027221,0.017983818355127815,0.8947,0.29829,0.9996,3.8,1,0,0,1,0,0,2.8346,2.9639,3.0624,3.3133,4.0122,5.2616,6.3279,7.2051
