gen,sid,seed,foot_skate,path_gain_AFTER_ACTION,mm_orig,mm_corr,dmm,split
mdm,002471,20302610,0.010534,1.9517,2.3201,1.6196,-0.7005,calib
mdm,002522,20303608,0.013032,2.6946,7.7025,7.6806,-0.0218,holdout
mdm,002522,20303609,0.002684,3.9059,5.9845,7.4428,1.4584,holdout
mdm,002522,20303610,0.013489,2.0911,10.5233,8.9414,-1.5819,holdout
mdm,002597,20304608,0.01549,2.8173,9.4545,8.6151,-0.8394,calib
mdm,002597,20304609,0.022753,4.9315,9.1485,5.9507,-3.1978,calib
mdm,002597,20304610,0.022352,4.842,8.6737,5.9372,-2.7366,calib
mdm,002606,20305608,0.010544,0.4054,2.4968,2.6029,0.1061,calib
mdm,002606,20305609,0.011432,1.7504,5.3556,5.0297,-0.3259,calib
mdm,002606,20305610,0.007583,1.2076,5.8926,5.9379,0.0453,calib
mdm,002609,20306608,0.007906,0.0978,2.9659,3.1825,0.2166,calib
mdm,002609,20306609,0.008309,0.1587,3.8888,3.7653,-0.1235,calib
mdm,002609,20306610,0.008153,0.1084,3.3754,3.7265,0.3511,calib
mdm,002635,20307608,0.009934,1.3694,4.4108,3.2766,-1.1343,calib
mdm,002635,20307609,0.008094,1.0711,4.1274,2.6596,-1.4678,calib
mdm,002635,20307610,0.010308,1.2071,7.437,5.6471,-1.7899,calib
mdm,002661,20308608,0.008198,0.1903,2.2103,2.1703,-0.04,holdout
mdm,002661,20308609,0.009928,0.3914,1.4881,1.4823,-0.0059,holdout
mdm,002661,20308610,0.008409,0.6282,1.818,1.5491,-0.2689,holdout
mdm,002741,20309608,0.012823,1.5445,1.2356,1.0045,-0.2311,calib
mdm,002741,20309609,0.010733,1.5953,1.7145,1.8725,0.158,calib
mdm,002741,20309610,0.009421,0.8164,1.5789,1.7489,0.1701,calib
mdm,002761,20310608,0.01459,1.6012,7.7692,7.0242,-0.7449,holdout
mdm,002761,20310609,0.016607,2.2434,6.9689,5.7549,-1.214,holdout
mdm,002761,20310610,0.013994,1.9281,7.8822,7.2606,-0.6216,holdout
mdm,002770,20311608,0.012449,1.5253,1.9144,1.0774,-0.8371,calib
mdm,002770,20311609,0.015642,1.8336,2.5993,0.9459,-1.6534,calib
mdm,002770,20311610,0.014172,1.5821,3.9706,1.6727,-2.2979,calib
mdm,002781,20312608,0.01849,3.5819,9.0165,7.1618,-1.8547,holdout
mdm,002781,20312609,0.016944,4.1823,8.6187,6.2957,-2.3231,holdout
mdm,002781,20312610,0.014041,3.5159,9.9929,8.1553,-1.8376,holdout
mdm,002868,20313608,0.007969,0.1323,4.0143,3.8077,-0.2067,calib
mdm,002868,20313609,0.007954,0.1123,2.0285,2.0208,-0.0077,calib
mdm,002868,20313610,0.00826,0.1671,4.7675,4.5177,-0.2499,calib
mdm,002928,20314608,0.009527,1.6059,6.491,4.5652,-1.9258,calib
mdm,002928,20314609,0.006273,1.1394,8.1903,6.6662,-1.524,calib
mdm,002928,20314610,0.011002,1.7495,6.5793,4.2513,-2.328,calib
mdm,003013,20315608,0.010131,1.0016,6.0054,5.7154,-0.29,calib
mdm,003013,20315609,0.008012,0.1846,4.3419,4.7451,0.4031,calib
mdm,003013,20315610,0.007762,0.1348,7.1512,6.6334,-0.5178,calib
mdm,003020,20316608,0.008057,0.0278,5.3404,5.1775,-0.1629,holdout
mdm,003020,20316609,0.008147,0.0203,5.239,5.0487,-0.1902,holdout
mdm,003020,20316610,0.008144,0.019,4.872,4.5631,-0.3089,holdout
mdm,003171,20317608,0.016556,1.8632,2.1296,2.3664,0.2367,holdout
mdm,003171,20317609,0.003436,2.0461,4.7531,2.4156,-2.3375,holdout
mdm,003171,20317610,0.021915,2.2213,3.1057,3.5897,0.484,holdout
mdm,003179,20318608,0.011366,1.5327,8.7635,6.2384,-2.5251,calib
mdm,003179,20318609,0.009884,1.8099,6.8283,3.2688,-3.5595,calib
mdm,003179,20318610,0.012513,1.214,4.6773,2.91,-1.7673,calib
mdm,003224,20319608,0.019167,3.4073,6.2019,4.7,-1.5018,holdout
mdm,003224,20319609,0.021951,4.2251,4.5034,2.4647,-2.0387,holdout
mdm,003224,20319610,0.040435,5.815,4.7801,2.9799,-1.8002,holdout
mdm,003255,20320608,0.015583,1.9455,1.2702,1.7194,0.4492,calib
mdm,003255,20320609,0.019349,3.629,1.6807,2.063,0.3823,calib
mdm,003255,20320610,0.013707,1.4157,3.2854,2.209,-1.0763,calib
mdm,003321,20321608,0.011235,1.2685,9.6208,8.7371,-0.8837,calib
mdm,003321,20321609,0.002126,2.1186,10.1318,10.6048,0.473,calib
mdm,003321,20321610,0.007487,0.0433,4.1961,4.0802,-0.1159,calib
mdm,003331,20322608,0.004003,4.6845,9.213,7.551,-1.6621,calib
mdm,003331,20322609,0.004858,2.9475,9.758,7.4915,-2.2666,calib
mdm,003331,20322610,0.006354,3.9349,6.9634,5.4461,-1.5173,calib
mdm,003423,20323608,0.007385,0.04,5.3255,5.7541,0.4286,holdout
mdm,003423,20323609,0.007709,0.0403,5.2794,5.7414,0.462,holdout
mdm,003423,20323610,0.007568,0.036,5.5394,5.9224,0.383,holdout
mdm,003481,20324608,0.009505,1.3647,3.7497,4.2164,0.4667,holdout
mdm,003481,20324609,0.007114,1.0532,3.1467,3.4956,0.3489,holdout
mdm,003481,20324610,0.017851,1.8015,4.0327,4.9551,0.9224,holdout
mdm,003537,20325608,0.007963,0.3797,2.3771,2.4314,0.0543,calib
mdm,003537,20325609,0.007781,0.1905,3.126,3.1169,-0.0091,calib
mdm,003537,20325610,0.008475,2.1837,11.0326,10.6803,-0.3523,calib
mdm,003539,20326608,0.016954,3.6754,4.3138,2.209,-2.1048,holdout
mdm,003539,20326609,0.032617,5.247,4.202,3.1012,-1.1008,holdout
mdm,003539,20326610,0.020129,1.6348,4.4383,5.4859,1.0477,holdout
mdm,003584,20327608,0.02326,2.4485,3.2106,2.6168,-0.5938,calib
mdm,003584,20327609,0.018162,1.9107,3.2086,2.1244,-1.0842,calib
mdm,003584,20327610,0.018245,2.414,3.9367,3.4266,-0.5101,calib
mdm,003638,20328608,0.008107,0.2033,4.007,4.073,0.0659,holdout
mdm,003638,20328609,0.011016,0.9069,2.468,2.5961,0.1281,holdout
mdm,003638,20328610,0.021057,2.4974,4.0772,3.7396,-0.3376,holdout
mdm,003723,20329608,0.007941,0.2118,3.6283,4.0098,0.3815,calib
mdm,003723,20329609,0.007868,0.1102,1.8984,2.2065,0.3081,calib
mdm,003723,20329610,0.007557,0.0691,2.8932,3.1411,0.2479,calib
mdm,003771,20330608,0.007175,0.0553,3.7103,4.0632,0.3528,holdout
mdm,003771,20330609,0.007979,0.2074,2.1253,1.9317,-0.1935,holdout
mdm,003771,20330610,0.00795,0.1407,2.8106,2.7891,-0.0215,holdout
mdm,003814,20331608,0.019986,4.3977,7.0662,5.0182,-2.048,holdout
mdm,003814,20331609,0.015688,2.7911,6.8168,5.8455,-0.9713,holdout
mdm,003814,20331610,0.016818,2.9712,7.1121,6.1592,-0.9529,holdout
mdm,003823,20332608,0.007756,0.4135,2.3199,1.8367,-0.4832,calib
mdm,003823,20332609,0.008291,0.2571,1.0045,1.2705,0.266,calib
mdm,003823,20332610,0.00766,0.2215,3.1396,3.2014,0.0618,calib
mdm,003831,20333608,0.011822,0.9418,2.6877,2.6632,-0.0245,holdout
mdm,003831,20333609,0.016876,1.2625,3.4451,3.3335,-0.1116,holdout
mdm,003831,20333610,0.017144,1.1131,2.9255,2.7677,-0.1577,holdout
mdm,003868,20334608,0.008402,0.4609,3.247,3.2987,0.0517,calib
mdm,003868,20334609,0.008018,0.1487,3.2376,3.9581,0.7205,calib
mdm,003868,20334610,0.008902,0.4703,3.6744,3.3587,-0.3157,calib
mdm,003942,20335608,0.01598,3.992,9.5568,7.69,-1.8668,holdout
mdm,003942,20335609,0.020283,4.4535,8.3047,6.4154,-1.8893,holdout
mdm,003942,20335610,0.020042,3.612,9.9672,8.506,-1.4611,holdout
mdm,003962,20336608,0.024415,5.376,8.4358,5.3691,-3.0667,holdout
mdm,003962,20336609,0.017443,3.8381,8.8845,6.7901,-2.0944,holdout
mdm,003962,20336610,0.024842,4.5225,8.0181,5.4874,-2.5306,holdout
mdm,004037,20337608,0.007957,0.0896,5.6363,5.5753,-0.0611,holdout
mdm,004037,20337609,0.008114,0.0893,6.0129,6.7957,0.7828,holdout
mdm,004037,20337610,0.007835,0.2039,4.2019,4.4341,0.2322,holdout
mdm,004063,20338608,0.004174,0.0746,4.4235,3.3835,-1.0399,holdout
mdm,004063,20338609,0.004936,0.0725,3.7392,2.8305,-0.9086,holdout
mdm,004063,20338610,0.003803,0.1122,4.3471,3.1067,-1.2403,holdout
mdm,004068,20339608,0.011272,1.9933,7.886,4.0759,-3.8101,calib
mdm,004068,20339609,0.01185,2.5339,9.4248,1.5127,-7.9122,calib
